041010/arc.lis	07/10/2010	00:00:00	now
200310/arc.lis	30/03/2010	00:00:00	06/10/2010	00:00:00
261209/arc.lis	08/09/2009	00:00:00	29/03/2010	00:00:00
280809/arc.lis	27/08/2009	00:00:00	01/09/2009	00:00:00
