151110/arc.lis	15/11/2010	12:00:00	now
041010/arc.lis	06/10/2010	00:00:00	15/11/2010	11:59:59
200310/arc.lis	30/03/2010	00:00:00	05/10/2010	00:00:00
261209/arc.lis	27/11/2009	00:00:00	29/03/2010	00:00:00
011109/arc.lis	01/11/2009	00:00:00	26/11/2009	00:00:00
280809/arc.lis	27/08/2009	00:00:00	01/09/2009	00:00:00
