151210/arc.lis	14/12/2010	12:00:00	now
021210/arc.lis	02/12/2010	12:00:00	14/12/2010      11:59:59
171110/arc.lis	17/11/2010	12:00:00	02/12/2010	11:59:59
111110/arc.lis	11/11/2010	12:00:00	17/10/2010      11:59:59
041010/arc.lis	06/10/2010	00:00:00	11/11/2010	11:59:00
200310/arc.lis  30/03/2010      00:00:00	05/10/2010	00:00:00
261109/arc.lis	26/09/2009	00:00:00	29/03/2010	00:00:00
