291015/arc.lis	16/10/2015	12:00:00	now
240912/arc.lis	24/09/2012	12:00:00	15/10/2015	11:59:59
090812/arc.lis	03/08/2012	12:00:00	24/09/2012	11:59:59
060911/arc.lis	06/09/2011	12:00:00	03/08/2012	11:59:59
280611/arc.lis	27/06/2011	12:00:00	05/09/2011	11:59:59
041010/arc.lis	07/10/2010	00:00:00	26/06/2011	11:59:59
200310/arc.lis	30/03/2010	00:00:00	06/10/2010	00:00:00
261209/arc.lis	08/09/2009	00:00:00	29/03/2010	00:00:00
280809/arc.lis	27/08/2009	00:00:00	01/09/2009	00:00:00
