# Polynomial Order:	4

1	2.7309865304e+00	-5.3400215600e-04	4.6521046839e-07	-3.0845291621e-10	7.7568382502e-14	0.02
2	2.4956244788e+00	-4.4792051545e-04	4.6886309074e-07	-2.9447498289e-10	7.2940835453e-14	0.01
3	2.4710164036e+00	-5.0415573215e-04	4.9824813473e-07	-2.7922842754e-10	6.7724668473e-14	0.01
4	2.4311857544e+00	-3.7933773035e-04	4.1080856378e-07	-2.5885129962e-10	6.6507867369e-14	0.01
5	2.4777998667e+00	-4.5852146033e-04	4.9983163719e-07	-3.0975557674e-10	7.6511510453e-14	0.01
6	2.3837412590e+00	-3.9096146600e-04	4.0845874008e-07	-2.2880332241e-10	5.7550044453e-14	0.00
7	2.3450948563e+00	-2.9357102388e-04	2.8971553124e-07	-1.7180807960e-10	4.8180921755e-14	0.01
8	2.4791162043e+00	-4.6786451057e-04	5.1406003566e-07	-3.0164382975e-10	7.2658425694e-14	0.01
9	2.3883468038e+00	-3.4279759713e-04	3.4621577195e-07	-2.0733225935e-10	5.6330061478e-14	0.01
10	2.5077914435e+00	-4.1328997435e-04	4.5014223026e-07	-2.9577999147e-10	7.6305317341e-14	0.01
11	2.4127926419e+00	-4.0025297738e-04	4.5521865231e-07	-2.7834333238e-10	7.0165013216e-14	0.01
12	2.3646440029e+00	-3.5571388070e-04	3.9457724896e-07	-2.3092894325e-10	6.0658378469e-14	0.01
13	2.4902334647e+00	-4.0286990969e-04	4.3305026365e-07	-2.8119321725e-10	7.3029390915e-14	0.01
14	2.5555313152e+00	-4.4581630093e-04	4.9615380423e-07	-3.2962151558e-10	8.3202640450e-14	0.01
15	2.3258448144e+00	-3.1885858987e-04	3.4320184152e-07	-2.3993094757e-10	6.8138364868e-14	0.01
16	2.4798711719e+00	-3.9602370972e-04	4.5241891119e-07	-2.9651903726e-10	7.6122517103e-14	0.01
17	2.4353072513e+00	-4.2145617062e-04	4.9967893428e-07	-3.1361919624e-10	7.8646687908e-14	0.02
18	2.4963378531e+00	-4.1175850217e-04	4.6760309448e-07	-3.0158925337e-10	7.7040654702e-14	0.01
19	2.4443415309e+00	-3.8077272852e-04	4.4581429827e-07	-2.8739847150e-10	7.4542998845e-14	0.01
20	2.5634404463e+00	-5.4213312101e-04	6.8502060999e-07	-4.4640537744e-10	1.0637880571e-13	0.03
21	2.5029009153e+00	-4.0363190970e-04	4.6678680533e-07	-3.0566226708e-10	7.8133370461e-14	0.01
22	2.4937778454e+00	-3.4381754814e-04	3.7247319955e-07	-2.5868691263e-10	7.1081680983e-14	0.01
23	2.4556237203e+00	-3.5677017026e-04	3.9465525303e-07	-2.5676580120e-10	6.8829308686e-14	0.01
24	2.4659930489e+00	-3.6354838124e-04	4.0672395590e-07	-2.6802685895e-10	7.1833851949e-14	0.01
25	2.4307678510e+00	-4.8142009935e-04	6.1328400064e-07	-3.7525039867e-10	8.9702838607e-14	0.04
26	2.4830412149e+00	-4.7161962675e-04	5.6917780901e-07	-3.5455717796e-10	8.6934588564e-14	0.01
27	2.5096550747e+00	-4.9020756564e-04	5.7663313723e-07	-3.6111047512e-10	8.8928785382e-14	0.02
28	2.5226647197e+00	-4.5649823523e-04	4.9202659067e-07	-3.0822059125e-10	7.8771241426e-14	0.01
29	2.4987934617e+00	-4.8071787531e-04	5.6235513375e-07	-3.4830554950e-10	8.5784790778e-14	0.02
30	2.4072585253e+00	-3.4030681615e-04	3.7483904136e-07	-2.4088194103e-10	6.6510250105e-14	0.01
31	2.3764141197e+00	-3.5529867243e-04	4.3287400500e-07	-2.7031193994e-10	7.0450862030e-14	0.01
32	2.4180787279e+00	-4.0828829081e-04	4.8336986917e-07	-2.9721949938e-10	7.6326477497e-14	0.01
33	2.4285637392e+00	-3.9955164037e-04	4.6551430508e-07	-2.8814530459e-10	7.4366151308e-14	0.01
34	2.3769830122e+00	-4.4681345811e-04	5.3162191063e-07	-3.0155060595e-10	7.5165616567e-14	0.01
35	2.4847556491e+00	-4.6105290819e-04	5.0228853592e-07	-3.1211545594e-10	8.0860763516e-14	0.01
36	2.4424690466e+00	-4.3677645539e-04	5.0212695615e-07	-3.0661227896e-10	7.8158976888e-14	0.01
37	2.4964270431e+00	-5.2178762639e-04	5.5636041886e-07	-3.2770585582e-10	8.2937317850e-14	0.01
38	2.4234393730e+00	-4.0300934039e-04	4.3268335606e-07	-2.6010394736e-10	7.0083265266e-14	0.01
39	2.5294460810e+00	-5.1783928695e-04	5.3987027314e-07	-3.2276002421e-10	8.1999895808e-14	0.01
40	2.4680953508e+00	-4.1107141187e-04	4.2847929714e-07	-2.7322850561e-10	7.3752215254e-14	0.01
41	2.5453137064e+00	-5.1253645760e-04	5.4933306395e-07	-3.3683053546e-10	8.3929896973e-14	0.01
42	2.4470452202e+00	-4.3463450038e-04	5.2397189517e-07	-3.2841062945e-10	8.2719742842e-14	0.02
43	2.4153624837e+00	-4.7106112466e-04	5.6894432360e-07	-3.3660881224e-10	8.2064002126e-14	0.02
44	2.5130287471e+00	-5.6914829815e-04	6.7258403966e-07	-3.9942215826e-10	9.3771925019e-14	0.02
45	2.4514872025e+00	-4.8014579969e-04	5.5472659374e-07	-3.3525603020e-10	8.3083042239e-14	0.02
46	2.5400638971e+00	-6.6221327711e-04	8.5206288809e-07	-5.2608254273e-10	1.2068262276e-13	0.04
47	2.4417977714e+00	-5.1517391170e-04	6.2378849322e-07	-3.7433033146e-10	9.0046679412e-14	0.01
48	2.5271037105e+00	-5.1206116603e-04	5.5823684506e-07	-3.4090888229e-10	8.5086660016e-14	0.02
